,INSKUDD,UTLAN,PURRING_ANTALL_12MND,ALDER,KJONN,HAR_MOBIL,LONNSOMHET_PER_MND_TYPE
141,113.0,0.0,0,53,1,1,Good
142,11.0,16.0,0,53,0,1,Good
143,10.0,9.0,0,53,0,1,Good
144,165.0,284.0,0,53,1,1,Good
145,148.0,528.0,0,53,1,1,Good
146,27.0,0.0,0,52,1,1,Good
147,11.0,0.0,0,52,1,1,Good
148,85.0,0.0,0,52,0,1,Good
149,58.0,0.0,0,52,0,1,Good
150,190.53660414718664,422.60150706781803,0,50,0,0,Good
151,190.53660414718664,422.60150706781803,0,50,0,0,Good
152,215.0,0.0,0,48,1,1,Good
153,215.0,0.0,0,48,1,1,Good
154,2.0,0.0,0,48,0,1,Good
155,3.0,0.0,0,48,0,1,Good
156,190.53660414718664,422.60150706781803,0,47,1,1,Good
157,190.53660414718664,422.60150706781803,0,47,1,1,Good
158,56.0,2070.0,0,47,1,1,Good
159,25.0,2066.0,0,47,1,1,Good
160,10.0,0.0,0,47,0,1,Good
161,27.0,0.0,0,47,0,1,Good
162,71.0,0.0,0,44,0,1,Good
163,60.0,0.0,0,44,0,1,Good
164,1754.0,1126.0,0,43,0,1,Good
165,1723.0,1118.0,0,43,0,1,Good
166,688.0,2526.0,1,38,1,1,Good
167,712.0,2521.0,1,38,1,1,Good
168,4.0,0.0,0,36,1,1,Good
169,4.0,0.0,0,36,1,1,Good
170,190.53660414718664,422.60150706781803,0,36,0,0,Good
171,190.53660414718664,422.60150706781803,0,36,0,0,Good
172,2.0,0.0,0,35,0,1,Good
173,2.0,0.0,0,35,0,1,Good
174,190.53660414718664,422.60150706781803,0,35,0,0,Good
175,190.53660414718664,422.60150706781803,0,35,0,0,Good
176,0.0,0.0,0,35,0,1,Good
177,0.0,0.0,0,34,0,1,Bad
178,0.0,0.0,0,34,0,1,Bad
179,304.0,0.0,0,33,0,1,Bad
180,301.0,0.0,0,33,0,1,Bad
181,144.0,3164.0,0,32,1,1,Good
182,149.0,3158.0,0,32,1,1,Good
183,559.0,0.0,0,31,0,1,Good
184,484.0,0.0,0,31,0,1,Good
185,0.0,0.0,0,30,0,1,Good
186,0.0,0.0,0,30,0,1,Good
187,0.0,0.0,0,28,1,0,Good
188,132.0,0.0,0,27,0,1,Good
189,133.0,0.0,0,27,0,1,Good
190,293.0,0.0,0,27,0,1,Good
191,284.0,0.0,0,27,0,1,Good
192,277.0,0.0,0,26,1,1,Good
193,304.0,0.0,0,26,1,1,Good
194,0.0,0.0,0,24,0,0,Bad
195,0.0,0.0,0,24,0,1,Good
196,57.0,2026.0,0,23,0,1,Good
197,56.0,2020.0,0,23,0,1,Good
198,116.0,0.0,0,20,0,1,Good
199,116.0,0.0,0,20,0,1,Good
200,227.0,0.0,0,20,0,1,Good
201,229.0,0.0,0,20,0,1,Good
202,21.0,0.0,0,14,0,0,Good
203,11.0,0.0,0,14,0,0,Good
204,27.0,0.0,0,13,0,0,Good
205,27.0,0.0,0,13,0,0,Good
206,3.0,0.0,0,12,1,0,Good
207,3.0,0.0,0,12,1,0,Good
208,3.0,0.0,0,10,1,0,Good
209,3.0,0.0,0,10,1,0,Good
210,9.0,0.0,0,9,1,0,Good
211,9.0,0.0,0,9,1,0,Good
212,18.0,0.0,0,4,1,0,Good
213,19.0,0.0,0,4,1,0,Good
214,16.0,0.0,0,3,0,0,Good
215,16.0,0.0,0,3,0,0,Good
216,3.0,0.0,0,96,0,0,Good
217,3.0,0.0,0,96,0,0,Good
218,381.0,0.0,0,93,1,0,Good
219,385.0,0.0,0,93,1,0,Good
220,250.0,125.0,0,88,0,1,Good
221,242.0,126.0,0,88,0,1,Good
222,892.0,0.0,0,87,0,0,Good
223,891.0,0.0,0,87,0,0,Good
224,12.0,0.0,0,87,1,1,Good
225,9.0,0.0,0,87,1,1,Good
226,465.0,0.0,0,85,0,0,Good
227,447.0,0.0,0,85,0,0,Good
228,160.0,0.0,0,83,0,1,Good
229,95.0,0.0,0,83,0,1,Good
230,201.0,0.0,0,80,0,1,Good
231,199.0,0.0,0,80,0,1,Good
232,92.0,0.0,0,78,0,1,Good
233,82.0,0.0,0,78,0,1,Good
234,61.0,317.0,0,74,1,1,Good
235,67.0,314.0,0,74,1,1,Good
236,0.0,250.0,2,74,1,1,Good
237,0.0,250.0,2,74,1,1,Good
238,159.0,0.0,0,74,1,1,Good
239,159.0,0.0,0,74,1,1,Good
240,74.0,0.0,0,74,0,1,Good
241,71.0,0.0,0,74,0,1,Good
242,190.53660414718664,422.60150706781803,0,71,1,1,Good
243,190.53660414718664,422.60150706781803,0,71,1,1,Good
244,18.0,1059.0,0,70,0,1,Good
245,10.0,1058.0,0,70,0,1,Good
246,190.53660414718664,422.60150706781803,0,69,1,1,Good
247,190.53660414718664,422.60150706781803,0,69,1,1,Good
248,109.0,220.0,0,66,1,1,Good
249,46.0,214.0,0,66,1,1,Good
250,1100.0,0.0,0,66,0,1,Good
251,1102.0,0.0,0,66,0,1,Good
252,150.0,63.0,0,65,1,1,Good
253,140.0,63.0,0,65,1,1,Good
254,37.0,906.0,0,65,0,1,Good
255,49.0,907.0,0,65,0,1,Good
256,3.0,0.0,0,63,0,1,Good
257,1.0,0.0,0,63,0,1,Bad
258,13.0,0.0,0,61,1,1,Good
259,12.0,0.0,0,61,1,1,Good
260,258.0,82.0,0,60,0,1,Good
261,266.0,168.0,0,60,0,1,Good
262,470.0,0.0,0,59,0,1,Good
263,435.0,0.0,0,59,0,1,Good
264,82.0,33.0,0,58,0,1,Good
265,73.0,30.0,0,58,0,1,Good
266,190.53660414718664,422.60150706781803,0,58,0,0,Good
267,190.53660414718664,422.60150706781803,0,58,0,0,Good
268,729.0,0.0,0,57,1,1,Good
269,680.0,0.0,0,57,1,1,Good
270,24.0,1198.0,0,55,1,1,Good
271,22.0,1190.0,0,55,1,1,Good
272,14.0,0.0,0,55,0,1,Good
273,10.0,0.0,0,55,0,1,Good
274,4.0,5.0,0,54,0,1,Good
275,3.0,8.0,0,54,0,1,Good
276,40.0,3057.0,0,53,1,1,Good
277,46.0,3040.0,0,53,1,1,Good
278,190.53660414718664,422.60150706781803,0,53,1,0,Good
279,190.53660414718664,422.60150706781803,0,53,1,0,Good
280,2663.0,0.0,0,51,1,1,Good
281,6326.0,0.0,0,51,1,1,Good
282,17.0,0.0,0,51,0,1,Good
283,17.0,0.0,0,51,0,1,Good
284,190.53660414718664,422.60150706781803,0,50,1,1,Good
285,190.53660414718664,422.60150706781803,0,50,1,1,Good
286,0.0,2629.0,6,48,1,1,Good
287,0.0,2615.0,5,48,1,1,Good
288,0.0,261.0,0,48,0,1,Good
289,0.0,257.0,0,48,0,1,Good
290,33.0,0.0,0,48,0,1,Good
291,30.0,0.0,0,48,0,1,Good
292,78.0,442.0,0,48,0,1,Good
293,80.0,438.0,0,48,0,1,Good
294,8.0,1742.0,0,47,1,1,Good
295,2.0,1738.0,0,47,1,1,Good
296,30.0,9976.0,0,46,1,1,Good
297,27.0,10479.0,0,46,1,1,Good
298,128.0,0.0,0,46,0,1,Good
299,127.0,0.0,0,46,0,1,Good
300,0.0,0.0,0,45,1,1,Good
301,0.0,0.0,0,45,1,1,Bad
302,3.0,292.0,1,43,1,1,Good
303,4.0,292.0,0,43,1,1,Good
304,104.0,3610.0,0,43,1,1,Good
305,78.0,3610.0,0,43,1,1,Good
306,0.0,0.0,0,43,1,1,Good
307,0.0,0.0,0,43,1,1,Good
308,122.0,0.0,0,42,0,1,Good
309,129.0,0.0,0,42,0,1,Good
310,22.0,0.0,0,42,1,1,Good
311,21.0,0.0,0,42,1,1,Good
312,38.0,0.0,0,41,1,1,Good
313,47.0,0.0,0,41,1,1,Good
314,18.0,2784.0,1,40,1,1,Bad
315,22.0,2894.0,1,40,1,1,Bad
316,185.0,0.0,0,38,1,1,Good
317,278.0,0.0,0,38,1,1,Good
318,10.0,0.0,0,38,1,1,Good
319,1.0,0.0,0,38,1,1,Good
320,27.0,0.0,0,37,0,1,Good
321,25.0,0.0,0,37,0,1,Good
322,0.0,0.0,0,37,0,1,Good
323,0.0,0.0,0,37,0,1,Good
324,5.0,0.0,0,36,0,1,Good
325,5.0,0.0,0,36,0,1,Good
326,50.0,1765.0,7,34,1,1,Good
327,26.0,1750.0,8,34,1,1,Good
328,625.0,0.0,0,33,0,1,Good
329,614.0,0.0,0,33,0,1,Good
330,178.0,0.0,0,31,0,1,Good
331,172.0,0.0,0,31,0,1,Good
332,174.0,561.0,0,31,0,1,Good
333,311.0,468.0,0,31,0,1,Good
