TID_ID	BK_SB1_SELSKAP_ID	KUNDE_ID	ALDER	KJONN	DOD	KONKURS	SAMTYKKE_1_SVAR	SAMTYKKE_2_SVAR	HAR_EPOST	HAR_MOBIL	RESERVERT_MOT_MARKEDSFORING	RESERVERT_TELEFON_BRREG_FLG
20190329	2096	18577	92	M	1	0	J	J	0	0	J	0
20190329	2096	18598	57	K	0	0	J	J	1	1	N	1
20190430	2096	18598	57	K	0	0	J	J	1	1	N	1
20190430	2096	18615	41	M	0	0	J	J	1	1	N	1
20190329	2096	18615	41	M	0	0	J	J	1	1	N	1
20190329	2096	18617	39	K	0	0	J	J	1	1	N	1
20190430	2096	18617	39	K	0	0	J	J	1	1	N	1
20190430	2096	18619	36	K	0	0	J	J	1	1	N	0
20190329	2096	18619	36	K	0	0	J	J	1	1	N	0
20190329	2096	18625	30	M	0	0	J	J	1	1	N	1
20190430	2096	18625	30	M	0	0	J	J	1	1	N	1
20190430	2096	18627	26	K	0	0	J	J	1	1	NULL	0
20190329	2096	18627	26	K	0	0	J	J	1	1	NULL	0
20190329	2096	18628	24	K	0	0	J	J	1	1	N	0
20190430	2096	18628	24	K	0	0	J	J	1	1	N	0
20190430	2096	18639	8	M	0	0	J	J	0	0	N	0
20190329	2096	18639	8	M	0	0	J	J	0	0	N	0
20190329	2096	18648	81	M	0	0	J	J	1	1	N	0
20190430	2096	18648	81	M	0	0	J	J	1	1	N	0
20190430	2096	18650	75	K	1	0	J	J	0	0	J	0
20190329	2096	18650	75	K	1	0	J	J	0	0	J	0
20190329	2096	18654	66	M	0	0	J	J	0	0	N	1
20190430	2096	18654	66	M	0	0	J	J	0	0	N	1
20190430	2096	18659	62	K	0	0	N	J	1	1	N	1
20190329	2096	18659	62	K	0	0	N	J	1	1	N	1
20190329	2096	18666	54	M	0	0	J	J	1	1	N	0
20190430	2096	18666	54	M	0	0	J	J	1	1	N	0
20190430	2096	18676	43	M	0	0	J	J	1	1	N	0
20190329	2096	18676	43	M	0	0	J	J	1	1	N	0
20190329	2096	18678	42	K	0	0	J	J	1	1	N	1
20190430	2096	18678	42	K	0	0	J	J	1	1	N	1
20190430	2096	18679	40	M	0	0	J	J	1	1	N	0
20190329	2096	18679	40	M	0	0	J	J	1	1	N	0
20190329	2096	18694	23	K	0	0	J	J	1	1	N	0
20190430	2096	16730	47	M	0	0	J	J	1	1	N	1
20190430	2096	16733	46	M	0	0	N	J	1	1	N	0
20190329	2096	16733	46	M	0	0	N	J	1	1	N	0
20190329	2096	16736	43	K	0	0	J	J	1	1	N	0
20190430	2096	16736	43	K	0	0	J	J	1	1	N	0
20190430	2096	16738	42	K	0	0	J	J	1	1	N	1
20190329	2096	16738	42	K	0	0	J	J	1	1	N	1
20190329	2096	16739	41	K	0	0	J	J	1	1	N	1
20190430	2096	16739	41	K	0	0	J	J	1	1	N	1
20190430	2096	16740	35	M	0	0	J	J	1	1	N	1
20190329	2096	16740	35	M	0	0	J	J	1	1	N	1
20190329	2096	16745	29	K	0	0	J	J	1	1	N	1
20190329	2096	16759	79	M	0	0	J	J	0	1	N	1
20190430	2096	16759	79	M	0	0	J	J	0	1	N	1
20190430	2096	16768	58	K	0	0	J	J	1	1	N	1
20190329	2096	16768	58	K	0	0	J	J	1	1	N	1
20190329	2096	16770	51	K	0	0	J	J	1	0	N	1
20190430	2096	16770	51	K	0	0	J	J	1	0	N	1
20190430	2096	16789	27	K	0	0	J	J	1	1	N	0
20190329	2096	16789	27	K	0	0	J	J	1	1	N	0
20190329	2096	16791	26	M	0	0	J	J	1	1	N	0
20190430	2096	16791	26	M	0	0	J	J	1	1	N	0
20190430	2096	16794	26	K	0	0	J	J	1	1	N	0
20190329	2096	16794	26	K	0	0	J	J	1	1	N	0
20190329	2096	16795	21	K	0	0	J	J	1	1	N	0
20190430	2096	16795	21	K	0	0	J	J	1	1	N	0
20190430	2096	16814	47	M	0	0	J	J	1	1	N	1
20190329	2096	16814	47	M	0	0	J	J	1	1	N	1
20190329	2096	16816	44	K	0	0	J	J	1	1	N	1
20190430	2096	16816	44	K	0	0	J	J	1	1	N	1
20190430	2096	16818	42	M	0	0	J	J	1	1	N	1
20190329	2096	16818	42	M	0	0	J	J	1	1	N	1
20190329	2096	16820	40	K	0	0	J	J	1	1	N	1
20190430	2096	16820	40	K	0	0	J	J	1	1	N	1
20190430	2096	16828	24	M	0	0	J	J	1	1	N	0
20190329	2096	16828	24	M	0	0	J	J	1	1	N	0
20190329	2096	16832	11	K	0	0	J	J	1	1	N	0
20190430	2096	16832	11	K	0	0	J	J	1	1	N	0
20190430	2096	16834	9	M	0	0	J	J	0	1	N	0
20190329	2096	16834	9	M	0	0	J	J	0	1	N	0
20190329	2096	16844	66	K	0	0	J	J	0	1	N	1
20190430	2096	16844	66	K	0	0	J	J	0	1	N	1
20190430	2096	16845	66	K	0	0	J	J	1	1	N	1
20190329	2096	16845	66	K	0	0	J	J	1	1	N	1
20190329	2096	16853	55	K	0	0	J	J	1	1	N	1
20190430	2096	16853	55	K	0	0	J	J	1	1	N	1
20190430	2096	16856	54	M	0	0	J	J	1	1	N	1
20190329	2096	16856	54	M	0	0	J	J	1	1	N	1
20190329	2096	16858	52	M	0	0	J	J	1	0	N	1
20190430	2096	16858	52	M	0	0	J	J	1	0	N	1
20190430	2096	16863	44	M	0	0	J	J	1	1	N	1
20190329	2096	16863	44	M	0	0	J	J	1	1	N	1
20190329	2096	16864	44	M	0	0	J	J	1	1	N	0
20190430	2096	16864	44	M	0	0	J	J	1	1	N	0
20190430	2096	16880	25	M	0	0	J	J	1	1	N	0
20190329	2096	16880	25	M	0	0	J	J	1	1	N	0
20190329	2096	16894	67	M	0	0	J	J	1	1	N	1
20190430	2096	16894	67	M	0	0	J	J	1	1	N	1
20190430	2096	16935	28	M	0	0	J	J	1	1	N	0
20190329	2096	16935	28	M	0	0	J	J	1	1	N	0
20190329	2096	16942	26	K	0	0	J	J	1	1	N	0
20190430	2096	16942	26	K	0	0	J	J	1	1	N	0
20190430	2096	16947	21	K	0	0	J	J	1	1	N	0
20190329	2096	16947	21	K	0	0	J	J	1	1	N	0
20190329	2096	16951	19	M	0	0	J	J	1	1	N	0
20190430	2096	16951	19	M	0	0	J	J	1	1	N	0
20190430	2096	16959	15	M	0	0	J	J	1	0	N	0
20190329	2096	16959	15	M	0	0	J	J	1	0	N	0
20190329	2096	16966	77	K	0	0	J	J	0	1	N	0
20190430	2096	16966	77	K	0	0	J	J	0	1	N	0
20190430	2096	16967	77	M	0	0	J	J	0	0	N	1
20190329	2096	16967	77	M	0	0	J	J	0	0	N	1
20190329	2096	18513	21	K	0	0	J	J	1	1	N	0
20190329	2096	18515	19	M	0	0	J	J	1	1	N	0
20190430	2096	18515	19	M	0	0	J	J	1	1	N	0
20190430	2096	18518	9	M	0	0	J	J	0	0	N	0
20190329	2096	18518	9	M	0	0	J	J	0	0	N	0
20190430	2096	18561	27	M	0	0	J	J	1	1	N	0
20190329	2096	18561	27	M	0	0	J	J	1	1	N	0
20190329	2096	18570	19	M	0	0	J	J	1	1	N	0
20190430	2096	18570	19	M	0	0	J	J	1	1	N	0
20190430	2096	18575	2	M	0	0	J	J	0	0	N	0
20190329	2096	18575	2	M	0	0	J	J	0	0	N	0
20190329	2096	18581	77	K	0	0	J	J	1	1	N	0
20190430	2096	18581	77	K	0	0	J	J	1	1	N	0
20190430	2096	18588	67	M	0	0	J	J	1	1	N	0
20190329	2096	18588	67	M	0	0	J	J	1	1	N	0
20190329	2096	18600	55	K	0	0	J	J	0	1	N	0
20190430	2096	18600	55	K	0	0	J	J	0	1	N	0
20190430	2096	18607	51	K	0	0	J	J	1	1	N	1
20190329	2096	18607	51	K	0	0	J	J	1	1	N	1
20190329	2096	18611	45	M	0	0	J	J	1	1	N	0
20190430	2096	18611	45	M	0	0	J	J	1	1	N	0
20190430	2096	18633	19	K	0	0	J	J	1	1	N	0
20190329	2096	18633	19	K	0	0	J	J	1	1	N	0
20190329	2096	18636	15	M	0	0	J	J	0	0	N	0
20190430	2096	18636	15	M	0	0	J	J	0	0	N	0
20190430	2096	18647	82	M	0	0	J	J	0	1	N	0
20190329	2096	18647	82	M	0	0	J	J	0	1	N	0
20190329	2096	18651	73	K	0	0	J	J	1	1	N	1
20190430	2096	18651	73	K	0	0	J	J	1	1	N	1
20190430	2096	18652	73	K	0	0	J	J	1	1	N	1
20190329	2096	18652	73	K	0	0	J	J	1	1	N	1
20190329	2096	18657	63	M	0	0	J	J	0	0	N	0
20190430	2096	18657	63	M	0	0	J	J	0	0	N	0
20190430	2096	18663	56	M	0	0	J	J	1	1	N	0
20190329	2096	18663	56	M	0	0	J	J	1	1	N	0
20190329	2096	18665	55	M	0	0	J	J	1	1	N	1
20190430	2096	18665	55	M	0	0	J	J	1	1	N	1
20190430	2096	18667	54	K	0	0	J	J	1	1	N	1
20190329	2096	18667	54	K	0	0	J	J	1	1	N	1
20190329	2096	18671	48	K	0	0	J	J	1	1	N	0
