TID_ID	BK_SB1_SELSKAP_ID	KUNDE_ID	INSKUDD	UTLAN	LANGTIDSOVERVAKET_FLG	PURRING_ANTALL_12MND	LO_MEDLEM_FLG	FAM_VOKSNE_ANT	FAM_BARN_ANT	ANT_INNLOGGINGER_MOBILBANK	ANT_INNLOGGINGER_NETTBANK	LONNSOMHET_PER_MND
20190329	2096	20745	0	0	0	NULL	0	NULL	NULL	NULL	NULL	0
20190329	2096	12770	212	16	0	0	1	NULL	NULL	25	0	117
20190329	2096	20742	0	0	0	NULL	0	NULL	NULL	0	0	3
20190329	2096	8295	112	0	0	NULL	1	2	2	6	0	416
20190329	2096	20194	18	0	0	NULL	0	NULL	NULL	2	0	266
20190430	2096	13907	18	3415	0	0	0	2	1	184	30	3443
20190430	2096	14384	0	0	0	NULL	0	NULL	NULL	NULL	NULL	0
20190329	2096	9903	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	4
20190430	2096	6238	67	656	0	NULL	0	2	1	0	2	467
20190430	2096	8571	480	0	0	NULL	1	NULL	NULL	0	0	773
20190430	2096	13182	17	261	0	NULL	0	NULL	NULL	0	11	239
20190430	2096	2895	0	0	0	NULL	0	NULL	NULL	NULL	NULL	0
20190430	2096	20368	23	0	0	NULL	0	NULL	NULL	35	0	-2
20190329	2096	14877	172	0	0	NULL	1	NULL	NULL	NULL	NULL	301
20190430	2096	4596	13	696	0	NULL	0	NULL	NULL	0	4	1474
20190329	2096	10753	3	0	0	NULL	0	2	0	14	0	16
20190430	2096	14224	1645	0	0	NULL	1	2	0	0	1	1465
20190430	2096	12417	32	10	0	NULL	0	NULL	NULL	30	0	928
20190430	2096	19855	157	1144	0	0	0	1	2	54	1	515
20190430	2096	20768	12	0	0	NULL	0	NULL	NULL	0	3	22
20190329	2096	17007	267	770	0	1	0	2	3	47	3	2589
20190329	2096	9343	31	0	0	NULL	0	2	0	157	0	182
20190430	2096	16389	238	1661	0	NULL	0	1	2	10	5	1326
20190329	2096	4671	48	0	0	NULL	0	2	2	17	1	191
20190329	2096	5216	7	0	0	NULL	0	1	2	50	1	185
20190329	2096	3719	34	0	0	NULL	1	NULL	NULL	35	0	386
20190430	2096	11021	3	14	0	NULL	1	2	1	69	0	369
20190430	2096	10613	79	0	0	NULL	0	NULL	NULL	NULL	NULL	281
20190329	2096	18071	100	25	0	NULL	1	NULL	NULL	0	13	355
20190430	2096	14721	78	0	0	NULL	0	2	0	11	0	164
20190329	2096	19147	46	0	0	NULL	0	2	2	NULL	NULL	46
20190430	2096	4143	21	0	0	NULL	0	2	0	0	1	41
20190430	2096	1810	60	0	0	NULL	0	2	3	NULL	NULL	62
20190430	2096	13517	7	0	0	1	0	2	1	18	0	37
20190430	2096	7282	19	1512	0	NULL	0	2	1	4	12	1054
20190430	2096	7309	148	2696	0	0	0	2	0	139	1	502
20190329	2096	18713	18	0	0	NULL	0	NULL	NULL	0	6	33
20190430	2096	1266	51	0	0	NULL	1	2	0	15	1	76
20190329	2096	8329	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	19
20190430	2096	13777	6	0	0	NULL	0	NULL	NULL	10	1	84
20190329	2096	17345	244	101	0	NULL	0	NULL	NULL	NULL	NULL	628
20190329	2096	9070	8	0	0	NULL	0	2	2	28	0	9
20190329	2096	2276	0	0	0	NULL	1	NULL	NULL	11	3	204
20190329	2096	10330	68	0	0	NULL	0	NULL	NULL	0	3	404
20190329	2096	5272	199	1174	0	NULL	1	2	0	6	0	1471
20190329	2096	8457	214	0	0	NULL	0	NULL	NULL	10	1	118
20190329	2096	3741	579	0	0	NULL	0	NULL	NULL	12	0	531
20190430	2096	231	5	0	0	NULL	0	NULL	NULL	NULL	NULL	9
20190329	2096	12529	344	0	0	NULL	1	2	0	9	0	442
20190329	2096	1538	78	0	0	NULL	1	NULL	NULL	0	16	210
20190329	2096	18054	1	0	0	NULL	0	1	1	7	0	2
20190329	2096	8579	5	0	0	NULL	0	NULL	NULL	149	0	256
20190430	2096	4276	48	308	0	NULL	0	2	0	0	191	479
20190430	2096	18692	24	0	0	NULL	0	NULL	NULL	56	0	47
20190430	2096	18425	27	0	0	0	1	2	0	1	0	504
20190430	2096	16013	455	0	0	NULL	1	2	0	0	6	664
20190430	2096	13733	1103	0	0	NULL	1	2	0	2	0	785
20190430	2096	18483	119	0	0	0	0	2	0	12	0	208
20190329	2096	12792	38	658	0	0	0	2	0	11	4	773
20190329	2096	18452	281	0	0	0	1	2	2	1	0	328
20190430	2096	10361	11	0	0	1	0	2	0	67	2	608
20190329	2096	16605	51	0	0	NULL	0	2	1	NULL	NULL	50
20190430	2096	12265	51	3063	0	NULL	0	2	0	0	1	2596
20190430	2096	10981	58	0	0	0	0	2	0	8	0	71
20190430	2096	5602	563	570	0	NULL	0	NULL	NULL	37	0	1610
20190430	2096	15118	60	0	0	NULL	0	NULL	NULL	18	0	133
20190329	2096	4414	34	0	0	NULL	0	2	3	NULL	NULL	58
20190430	2096	16861	18	902	0	0	0	NULL	NULL	0	6	1259
20190430	2096	19274	12	0	0	NULL	0	2	0	13	0	52
20190430	2096	14535	46	0	0	NULL	0	NULL	NULL	0	3	174
20190329	2096	18445	10	6539	0	0	1	2	0	23	4	5276
20190329	2096	12221	36	0	0	NULL	0	NULL	NULL	NULL	NULL	246
20190329	2096	4306	11	0	0	NULL	0	NULL	NULL	NULL	NULL	20
20190430	2096	3146	76	2406	0	0	0	2	2	28	0	1489
20190329	2096	17446	5	0	0	0	1	2	2	71	1	834
20190430	2096	11968	10	0	0	NULL	0	NULL	NULL	7	0	129
20190329	2096	16870	0	0	0	NULL	0	NULL	NULL	86	0	107
20190329	2096	3076	NULL	NULL	0	NULL	1	NULL	NULL	NULL	NULL	284
20190430	2096	12418	4	0	0	NULL	1	2	1	40	0	41
20190430	2096	3902	4	2904	0	0	1	NULL	NULL	0	4	3185
20190329	2096	13913	7	0	0	NULL	0	NULL	NULL	45	0	737
20190430	2096	13601	784	600	0	NULL	0	NULL	NULL	0	0	1013
20190329	2096	1785	497	2529	0	NULL	0	2	3	12	3	4565
20190329	2096	11646	228	186	0	NULL	0	2	0	2	10	836
20190430	2096	17342	65	0	0	NULL	0	2	2	NULL	NULL	67
20190329	2096	18320	30	0	0	NULL	0	2	0	58	1	260
20190329	2096	19638	23	0	0	NULL	0	2	0	15	0	499
20190430	2096	16946	32	0	0	NULL	0	NULL	NULL	44	4	58
20190430	2096	9528	315	1038	0	NULL	0	2	0	4	2	1610
20190430	2096	12664	0	1319	0	NULL	0	2	0	0	33	1188
20190430	2096	17962	2979	0	0	NULL	0	2	0	11	0	3680
20190329	2096	6744	50	0	0	NULL	0	2	0	0	6	88
20190329	2096	10015	28	1462	0	NULL	1	NULL	NULL	25	1	2062
20190329	2096	5585	64	0	0	NULL	0	2	0	0	1	102
20190329	2096	13247	329	0	0	NULL	1	2	0	0	6	380
20190430	2096	10973	32	0	0	NULL	0	2	2	71	0	66
20190430	2096	7743	34	0	0	NULL	0	NULL	NULL	0	2	91
20190430	2096	15096	25	0	0	NULL	0	NULL	NULL	NULL	NULL	79
20190430	2096	667	88	232	0	0	0	NULL	NULL	27	0	380
20190430	2096	3537	11	1762	0	NULL	0	2	2	76	37	841
20190430	2096	15113	216	4986	0	NULL	0	2	0	41	0	1382
20190329	2096	16372	16	0	0	NULL	1	2	0	0	0	80
20190329	2096	20204	27	1472	0	0	0	2	2	29	9	533
20190430	2096	20473	198	0	0	NULL	0	NULL	NULL	57	1	563
20190329	2096	20432	1400	0	0	NULL	0	NULL	NULL	0	0	253
20190329	2096	3987	30	0	0	NULL	0	NULL	NULL	0	25	320
20190430	2096	11323	282	0	0	NULL	1	2	0	2	3	501
20190329	2096	15288	NULL	NULL	0	NULL	0	NULL	NULL	NULL	NULL	4
20190430	2096	13759	0	0	0	NULL	0	NULL	NULL	NULL	NULL	0
20190430	2096	5795	130	128	0	NULL	0	NULL	NULL	16	0	150
20190430	2096	16305	266	0	0	NULL	0	2	0	NULL	NULL	467
20190430	2096	2684	31	0	0	NULL	1	2	0	0	11	458
20190329	2096	9478	156	0	0	NULL	1	2	0	4	0	253
20190329	2096	5796	34	0	0	NULL	1	2	2	12	6	450
20190329	2096	4455	3	0	0	NULL	1	2	1	10	6	551
20190329	2096	6884	892	0	0	NULL	0	NULL	NULL	1	3	813
20190430	2096	20163	1	0	0	NULL	0	NULL	NULL	18	0	99
20190430	2096	16572	2	0	0	NULL	0	2	1	0	5	305
20190430	2096	304	27	0	0	NULL	0	2	2	NULL	NULL	27
20190430	2096	15454	101	0	0	NULL	1	2	0	26	0	79
20190329	2096	3259	6	0	0	0	0	NULL	NULL	164	0	19
20190430	2096	15338	2111	0	0	NULL	0	2	1	0	58	3516
20190329	2096	17468	194	0	0	NULL	0	NULL	NULL	32	0	73
20190430	2096	686	292	0	0	NULL	0	2	0	0	0	530
